SCOPE,AGG_LEVEL,YEAR,CAMPUS NUMBER,CAMPUS NAME,DISTRICT NUMBER,DISTRICT NAME,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,TOTAL DYSLEXIC STUDENTS
STATE,CAMPUS,2015-2016,43910132,BARKSDALE EL,43910,PLANO ISD,10,43,COLLIN COUNTY,638,68,0,61,0,60,75,0,117,0,0,53,9
STATE,CAMPUS,2015-2016,178904152,BARNES EL,178904,CORPUS CHRISTI ISD,2,178,NUECES COUNTY,607,0,0,41,21,17,250,9,232,36,-9999999,42,12
STATE,CAMPUS,2015-2016,220901052,BARNETT J H,220901,ARLINGTON ISD,11,220,TARRANT COUNTY,881,66,310,90,0,85,569,881,555,-9999999,0,103,10
STATE,CAMPUS,2015-2016,101906103,BARRETT PRI,101906,CROSBY ISD,4,101,HARRIS COUNTY,796,8,0,131,95,0,418,796,357,-9999999,6,71,-9999999
STATE,CAMPUS,2015-2016,101912107,BARRICK EL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,700,70,0,413,372,12,678,700,546,0,0,33,-9999999
STATE,CAMPUS,2015-2016,227901149,BARRINGTON EL,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,627,24,0,435,415,19,594,627,527,-9999999,5,79,10
STATE,CAMPUS,2015-2016,79907127,BARRINGTON PLACE EL,79907,FORT BEND ISD,4,79,FORT BEND COUNTY,751,36,0,317,0,303,232,0,533,-9999999,-9999999,53,8
STATE,CAMPUS,2015-2016,43910149,BARRON EL,43910,PLANO ISD,10,43,COLLIN COUNTY,470,69,0,240,161,77,416,470,300,0,0,73,15
STATE,CAMPUS,2015-2016,71902165,BARRON EL,71902,EL PASO ISD,19,71,EL PASO COUNTY,468,18,0,78,103,0,325,468,236,83,-9999999,71,-9999999
STATE,CAMPUS,2015-2016,20907107,BARROW EL,20907,COLUMBIA-BRAZORIA ISD,4,20,BRAZORIA COUNTY,618,19,0,51,0,33,355,618,245,0,-9999999,47,22
STATE,CAMPUS,2015-2016,14902001,BARTLETT SCHOOLS,14902,BARTLETT ISD,13,14,BELL COUNTY,369,5,129,37,0,37,278,364,214,-9999999,0,41,17
STATE,CAMPUS,2015-2016,227909105,BARTON CREEK EL,227909,EANES ISD,13,227,TRAVIS COUNTY,505,65,0,14,0,13,-9999999,0,35,5,0,52,18
STATE,CAMPUS,2015-2016,57912101,BARTON EL,57912,IRVING ISD,10,57,DALLAS COUNTY,856,142,0,482,440,42,719,856,709,0,0,63,19
STATE,CAMPUS,2015-2016,227901103,BARTON HILLS EL,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,407,19,0,6,0,-9999999,31,-9999999,81,-9999999,0,17,15
STATE,CAMPUS,2015-2016,243905046,BARWISE LEADERSHIP ACADEMY,243905,WICHITA FALLS ISD,9,243,WICHITA COUNTY,785,66,52,59,0,53,466,785,354,33,-9999999,106,0
STATE,CAMPUS,2015-2016,15834001,BASIS SAN ANTONIO MEDICAL CENTER,15834,BASIS TEXAS,20,15,BEXAR COUNTY,722,0,0,7,0,7,45,0,43,0,-9999999,9,0
STATE,CAMPUS,2015-2016,15834002,BASIS SAN ANTONIO NORTH CENTRAL,15834,BASIS TEXAS,20,15,BEXAR COUNTY,583,0,0,0,0,0,43,0,36,0,0,7,0
STATE,CAMPUS,2015-2016,15907105,BASKIN EL,15907,SAN ANTONIO ISD,20,15,BEXAR COUNTY,517,-9999999,0,23,0,0,458,517,260,7,7,36,24
STATE,CAMPUS,2015-2016,71902049,BASSETT MIDDLE,71902,EL PASO ISD,19,71,EL PASO COUNTY,646,46,123,166,0,144,571,646,367,203,0,88,15
STATE,CAMPUS,2015-2016,221901153,BASSETTI EL,221901,ABILENE ISD,14,221,TAYLOR COUNTY,553,27,0,45,0,45,395,550,144,60,0,74,6
STATE,CAMPUS,2015-2016,220907126,BASSWOOD EL,220907,KELLER ISD,11,220,TARRANT COUNTY,657,31,0,181,125,54,317,657,292,9,-9999999,46,35
STATE,CAMPUS,2015-2016,101912108,BASTIAN EL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,643,36,0,155,131,12,631,643,484,0,6,42,-9999999
STATE,CAMPUS,2015-2016,11901001,BASTROP H S,11901,BASTROP ISD,13,11,BASTROP COUNTY,1348,145,947,79,0,69,642,14,697,18,0,138,128
STATE,CAMPUS,2015-2016,11901104,BASTROP INT,11901,BASTROP ISD,13,11,BASTROP COUNTY,705,58,0,123,86,26,417,705,488,10,-9999999,85,69
STATE,CAMPUS,2015-2016,11901041,BASTROP MIDDLE,11901,BASTROP ISD,13,11,BASTROP COUNTY,707,53,0,89,0,68,396,11,419,14,-9999999,80,72
STATE,CAMPUS,2015-2016,232903108,BATESVILLE SCHOOL,232903,UVALDE CISD,20,232,UVALDE COUNTY,143,16,0,-9999999,5,0,137,143,113,0,0,14,-9999999
STATE,CAMPUS,2015-2016,227910108,BATY EL,227910,DEL VALLE ISD,13,227,TRAVIS COUNTY,768,7,0,325,228,89,737,768,625,0,-9999999,86,14
STATE,CAMPUS,2015-2016,158901001,BAY CITY H S,158901,BAY CITY ISD,3,158,MATAGORDA COUNTY,1004,59,906,62,0,51,591,1004,360,0,0,76,25
STATE,CAMPUS,2015-2016,158901041,BAY CITY J H,158901,BAY CITY ISD,3,158,MATAGORDA COUNTY,775,20,35,78,0,66,536,773,367,0,0,55,25
STATE,CAMPUS,2015-2016,84901107,BAY COLONY EL,84901,DICKINSON ISD,4,84,GALVESTON COUNTY,950,47,0,42,0,34,419,950,505,32,12,89,8
STATE,CAMPUS,2015-2016,84910105,BAY EL,84910,CLEAR CREEK ISD,4,84,GALVESTON COUNTY,751,35,0,74,0,71,277,738,288,16,7,99,12
STATE,CAMPUS,2015-2016,57905108,BAYLES EL,57905,DALLAS ISD,10,57,DALLAS COUNTY,606,58,0,236,230,0,535,606,357,0,-9999999,49,12
STATE,CAMPUS,2015-2016,152901155,BAYLESS EL,152901,LUBBOCK ISD,17,152,LUBBOCK COUNTY,710,5,0,12,-9999999,11,619,710,417,-9999999,5,91,12
STATE,CAMPUS,2015-2016,101912467,BAYLOR COLLEGE OF MEDICINE ACADEMY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,787,309,154,19,8,14,465,787,203,0,0,8,7
STATE,CAMPUS,2015-2016,101916104,BAYSHORE EL,101916,LA PORTE ISD,4,101,HARRIS COUNTY,533,32,0,140,129,11,328,533,266,-9999999,-9999999,48,11
STATE,CAMPUS,2015-2016,84910050,BAYSIDE INT,84910,CLEAR CREEK ISD,4,84,GALVESTON COUNTY,768,36,356,24,0,21,154,0,255,0,0,68,27
STATE,CAMPUS,2015-2016,101911041,BAYTOWN J H,101911,GOOSE CREEK CISD,4,101,HARRIS COUNTY,979,76,242,114,0,109,724,979,533,0,-9999999,106,55
STATE,CAMPUS,2015-2016,15907106,BEACON HILL EL,15907,SAN ANTONIO ISD,20,15,BEXAR COUNTY,471,18,0,116,100,0,447,470,292,-9999999,0,45,23
STATE,CAMPUS,2015-2016,71902104,BEALL EL,71902,EL PASO ISD,19,71,EL PASO COUNTY,442,30,0,363,354,0,409,442,394,0,0,26,-9999999
STATE,CAMPUS,2015-2016,152901156,BEAN EL,152901,LUBBOCK ISD,17,152,LUBBOCK COUNTY,618,-9999999,0,170,221,11,536,618,448,0,0,54,-9999999
STATE,CAMPUS,2015-2016,101913106,BEAR BRANCH EL,101913,HUMBLE ISD,4,101,HARRIS COUNTY,603,31,0,14,0,14,51,-9999999,180,13,-9999999,39,-9999999
STATE,CAMPUS,2015-2016,170906104,BEAR BRANCH EL,170906,MAGNOLIA ISD,6,170,MONTGOMERY COUNTY,645,21,0,15,0,11,107,-9999999,128,-9999999,6,48,9
STATE,CAMPUS,2015-2016,170906042,BEAR BRANCH J H,170906,MAGNOLIA ISD,6,170,MONTGOMERY COUNTY,1478,118,356,137,0,127,395,6,566,16,8,110,47
STATE,CAMPUS,2015-2016,101914106,BEAR CREEK EL,101914,KATY ISD,4,101,HARRIS COUNTY,749,27,0,398,294,105,504,749,544,5,-9999999,79,34
STATE,CAMPUS,2015-2016,220906106,BEAR CREEK EL,220906,GRAPEVINE-COLLEYVILLE ISD,11,220,TARRANT COUNTY,757,50,0,64,0,64,218,756,124,6,-9999999,46,20
STATE,CAMPUS,2015-2016,220907104,BEAR CREEK INT,220907,KELLER ISD,11,220,TARRANT COUNTY,929,194,0,11,0,10,53,-9999999,223,9,-9999999,75,103
STATE,CAMPUS,2015-2016,15915180,BEARD EL,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,806,78,0,30,0,-9999999,55,6,146,40,-9999999,72,17
STATE,CAMPUS,2015-2016,57914119,BEASLEY EL,57914,MESQUITE ISD,10,57,DALLAS COUNTY,485,21,0,32,0,28,263,485,147,-9999999,-9999999,53,27
STATE,CAMPUS,2015-2016,79901101,BEASLEY EL,79901,LAMAR CISD,4,79,FORT BEND COUNTY,386,13,0,135,91,44,304,386,291,0,-9999999,26,6
STATE,CAMPUS,2015-2016,101847101,BEATRICE MAYES INSTITUTE CHARTER S,101847,BEATRICE MAYES INSTITUTE CHARTER S,4,101,HARRIS COUNTY,455,0,0,0,0,0,350,455,13,-9999999,0,41,0
STATE,CAMPUS,2015-2016,108913044,BEATRIZ G GARZA MIDDLE,108913,WESLACO ISD,1,108,HIDALGO COUNTY,1077,97,373,256,0,242,769,1077,553,12,0,77,32
STATE,CAMPUS,2015-2016,43910160,BEATY EARLY CHILDHOOD SCHOOL,43910,PLANO ISD,10,43,COLLIN COUNTY,477,0,0,227,66,161,72,0,227,-9999999,0,170,0
STATE,CAMPUS,2015-2016,57909101,BEAVER TECHNOLOGY CENTER,57909,GARLAND ISD,10,57,DALLAS COUNTY,567,77,0,198,126,66,331,567,264,5,-9999999,41,-9999999
STATE,CAMPUS,2015-2016,220901141,BEBENSEE EL,220901,ARLINGTON ISD,11,220,TARRANT COUNTY,729,15,0,244,90,152,551,729,508,0,-9999999,34,12
STATE,CAMPUS,2015-2016,101914050,BECKENDORFF J H,101914,KATY ISD,4,101,HARRIS COUNTY,1760,355,454,71,0,66,93,-9999999,268,6,0,115,62
STATE,CAMPUS,2015-2016,227901104,BECKER EL,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,377,67,0,66,253,5,161,377,153,0,-9999999,15,16
STATE,CAMPUS,2015-2016,220901158,BECKHAM EL,220901,ARLINGTON ISD,11,220,TARRANT COUNTY,594,19,0,237,0,235,396,0,432,0,0,44,5
STATE,CAMPUS,2015-2016,183901001,BECKVILLE JR-SR HIGH SCHOOL,183901,BECKVILLE ISD,7,183,PANOLA COUNTY,373,6,252,5,0,5,126,373,124,-9999999,0,23,26
STATE,CAMPUS,2015-2016,183901101,BECKVILLE SUNSET EL,183901,BECKVILLE ISD,7,183,PANOLA COUNTY,343,5,0,14,0,14,123,343,107,-9999999,0,25,16
STATE,CAMPUS,2015-2016,220916119,BEDFORD HEIGHTS EL,220916,HURST-EULESS-BEDFORD ISD,11,220,TARRANT COUNTY,771,111,0,25,0,25,157,-9999999,130,-9999999,0,47,37
STATE,CAMPUS,2015-2016,220916044,BEDFORD J H,220916,HURST-EULESS-BEDFORD ISD,11,220,TARRANT COUNTY,862,130,308,27,0,22,317,13,291,13,0,78,44
STATE,CAMPUS,2015-2016,227901054,BEDICHEK MIDDLE,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,908,60,530,229,0,220,731,908,603,0,0,157,114
STATE,CAMPUS,2015-2016,227913103,BEE CAVE EL,227913,LAKE TRAVIS ISD,13,227,TRAVIS COUNTY,638,29,0,25,0,21,33,0,126,-9999999,-9999999,62,10
STATE,CAMPUS,2015-2016,101912303,BEECHNUT ACADEMY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,298,-9999999,0,52,0,48,225,43,286,0,0,21,-9999999
STATE,CAMPUS,2015-2016,15915192,BEHLAU EL,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,889,39,0,36,0,0,333,17,221,250,-9999999,110,14
STATE,CAMPUS,2015-2016,107901104,BEL AIR EL,107901,ATHENS ISD,7,107,HENDERSON COUNTY,514,16,0,163,89,65,405,514,322,0,-9999999,43,17
STATE,CAMPUS,2015-2016,71905001,BEL AIR H S,71905,YSLETA ISD,19,71,EL PASO COUNTY,2062,176,1950,289,129,280,1569,2062,968,-9999999,-9999999,174,39
STATE,CAMPUS,2015-2016,226903103,BELAIRE EL,226903,SAN ANGELO ISD,15,226,TOM GREEN COUNTY,355,-9999999,0,23,9,14,268,355,159,70,0,29,-9999999
STATE,CAMPUS,2015-2016,14903006,BELL CO J J A E P,14903,BELTON ISD,12,14,BELL COUNTY,-9999999,0,0,0,0,0,-9999999,0,-9999999,0,0,-9999999,0
STATE,CAMPUS,2015-2016,14907043,BELL COUNTY DAEP,14907,ROGERS ISD,12,14,BELL COUNTY,-9999999,0,0,0,0,0,-9999999,0,-9999999,0,0,0,0
STATE,CAMPUS,2015-2016,14908005,BELL COUNTY DAEP,14908,SALADO ISD,12,14,BELL COUNTY,-9999999,0,-9999999,0,0,0,-9999999,0,-9999999,0,0,-9999999,0
STATE,CAMPUS,2015-2016,14906025,BELL COUNTY JUV DET CTR,14906,KILLEEN ISD,12,14,BELL COUNTY,23,0,-9999999,0,0,0,10,-9999999,23,-9999999,0,5,0
STATE,CAMPUS,2015-2016,101912151,BELL EL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,779,119,0,352,291,42,682,779,509,0,0,46,-9999999
STATE,CAMPUS,2015-2016,212905102,BELL EL,212905,TYLER ISD,7,212,SMITH COUNTY,501,34,0,141,125,12,384,501,310,0,0,42,30
STATE,CAMPUS,2015-2016,220916001,BELL H S,220916,HURST-EULESS-BEDFORD ISD,11,220,TARRANT COUNTY,2183,222,1316,81,0,73,910,28,820,-9999999,-9999999,158,86
STATE,CAMPUS,2015-2016,220916116,BELL MANOR EL,220916,HURST-EULESS-BEDFORD ISD,11,220,TARRANT COUNTY,750,29,0,137,0,132,462,750,296,0,0,69,12
STATE,CAMPUS,2015-2016,161914103,BELL'S HILL EL,161914,WACO ISD,12,161,MCLENNAN COUNTY,787,27,0,380,138,243,771,787,675,0,-9999999,49,16
STATE,CAMPUS,2015-2016,14906113,BELLAIRE EL,14906,KILLEEN ISD,12,14,BELL COUNTY,571,-9999999,0,60,0,44,376,571,357,112,10,84,38
STATE,CAMPUS,2015-2016,15904102,BELLAIRE EL,15904,HARLANDALE ISD,20,15,BEXAR COUNTY,650,9,0,118,147,-9999999,593,650,476,8,-9999999,55,19
STATE,CAMPUS,2015-2016,220916102,BELLAIRE EL,220916,HURST-EULESS-BEDFORD ISD,11,220,TARRANT COUNTY,723,18,0,445,291,153,655,723,581,0,0,34,10
STATE,CAMPUS,2015-2016,101912002,BELLAIRE H S,101912,HOUSTON ISD,4,101,HARRIS COUNTY,3584,992,1262,281,20,269,1665,3584,1731,0,-9999999,241,67
STATE,CAMPUS,2015-2016,39904001,BELLEVUE SCHOOL,39904,BELLEVUE ISD,9,39,CLAY COUNTY,146,-9999999,39,0,0,0,70,146,58,0,0,17,-9999999
STATE,CAMPUS,2015-2016,101912360,BELLFORT EARLY CHILDHOOD CENTER,101912,HOUSTON ISD,4,101,HARRIS COUNTY,369,15,0,217,211,0,349,369,303,0,0,23,0
STATE,CAMPUS,2015-2016,91901101,BELLS EL,91901,BELLS ISD,10,91,GRAYSON COUNTY,359,36,0,-9999999,0,-9999999,155,359,86,0,-9999999,26,19
STATE,CAMPUS,2015-2016,91901001,BELLS H S,91901,BELLS ISD,10,91,GRAYSON COUNTY,223,10,208,-9999999,0,-9999999,76,0,60,0,0,23,5
STATE,CAMPUS,2015-2016,8901001,BELLVILLE H S,8901,BELLVILLE ISD,6,8,AUSTIN COUNTY,651,64,552,16,0,16,240,0,209,-9999999,-9999999,49,31
STATE,CAMPUS,2015-2016,8901041,BELLVILLE J H,8901,BELLVILLE ISD,6,8,AUSTIN COUNTY,526,66,43,41,0,40,248,5,240,6,0,45,37
STATE,CAMPUS,2015-2016,188901102,BELMAR EL,188901,AMARILLO ISD,16,188,POTTER COUNTY,384,27,0,10,0,10,179,7,74,6,-9999999,48,7
STATE,CAMPUS,2015-2016,57913109,BELT LINE EL,57913,LANCASTER ISD,10,57,DALLAS COUNTY,599,43,0,7,0,7,544,599,415,0,22,49,7
STATE,CAMPUS,2015-2016,14903119,BELTON EARLY CHILDHOOD SCHOOL,14903,BELTON ISD,12,14,BELL COUNTY,412,0,0,49,40,7,301,412,251,55,12,68,0
STATE,CAMPUS,2015-2016,14903001,BELTON H S,14903,BELTON ISD,12,14,BELL COUNTY,2711,244,2015,147,0,138,1095,46,1621,221,10,329,120
STATE,CAMPUS,2015-2016,14903005,BELTON NEW TECH H S AT WASKOW,14903,BELTON ISD,12,14,BELL COUNTY,481,89,365,0,0,0,136,-9999999,184,42,0,23,22
STATE,CAMPUS,2015-2016,125902041,BEN BOLT MIDDLE,125902,BEN BOLT-PALITO BLANCO ISD,2,125,JIM WELLS COUNTY,210,13,13,13,0,15,156,209,111,0,0,25,11
STATE,CAMPUS,2015-2016,125902001,BEN BOLT-PAL BLANCO H S,125902,BEN BOLT-PALITO BLANCO ISD,2,125,JIM WELLS COUNTY,214,7,195,6,0,6,146,214,100,0,0,22,10
STATE,CAMPUS,2015-2016,101925101,BEN BOWEN EARLY CHILDHOOD,101925,HUFFMAN ISD,4,101,HARRIS COUNTY,571,5,0,56,49,-9999999,236,571,196,12,7,57,-9999999
STATE,CAMPUS,2015-2016,21902109,BEN MILAM EL,21902,BRYAN ISD,6,21,BRAZOS COUNTY,580,19,0,360,352,13,551,580,500,0,0,46,10
STATE,CAMPUS,2015-2016,31903110,BEN MILAM EL,31903,HARLINGEN CISD,1,31,CAMERON COUNTY,414,19,0,134,293,0,375,414,263,6,0,30,-9999999
STATE,CAMPUS,2015-2016,57905184,BEN MILAM EL,57905,DALLAS ISD,10,57,DALLAS COUNTY,259,44,0,122,115,-9999999,241,259,146,0,0,9,11
STATE,CAMPUS,2015-2016,166901104,BEN MILAM EL,166901,CAMERON ISD,6,166,MILAM COUNTY,560,8,0,96,78,17,457,560,280,0,-9999999,43,-9999999
STATE,CAMPUS,2015-2016,31901135,BENAVIDES EL,31901,BROWNSVILLE ISD,1,31,CAMERON COUNTY,683,66,0,221,202,-9999999,620,681,373,-9999999,-9999999,70,43
STATE,CAMPUS,2015-2016,66901041,BENAVIDES EL,66901,BENAVIDES ISD,2,66,DUVAL COUNTY,179,5,0,12,0,11,155,179,87,0,0,25,0
STATE,CAMPUS,2015-2016,253901101,BENAVIDES EL,253901,ZAPATA COUNTY ISD,1,253,ZAPATA COUNTY,91,-9999999,0,26,26,0,79,91,67,0,0,-9999999,-9999999
STATE,CAMPUS,2015-2016,159901111,BENAVIDES HEIGHTS EL,159901,EAGLE PASS ISD,20,159,MAVERICK COUNTY,344,27,0,144,141,-9999999,297,344,190,-9999999,0,44,-9999999
STATE,CAMPUS,2015-2016,66901001,BENAVIDES SECONDARY,66901,BENAVIDES ISD,2,66,DUVAL COUNTY,182,16,114,5,0,5,119,182,79,0,0,19,0
STATE,CAMPUS,2015-2016,101912295,BENAVIDEZ EL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,1096,36,0,896,746,125,1022,1096,1003,0,0,57,0
STATE,CAMPUS,2015-2016,101912268,BENBROOK EL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,614,47,0,370,359,12,592,612,449,0,0,37,5
STATE,CAMPUS,2015-2016,220905103,BENBROOK EL,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,594,47,0,23,0,23,205,0,275,-9999999,0,59,26
STATE,CAMPUS,2015-2016,220905071,BENBROOK MIDDLE/HIGH SCHOOL,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,1098,155,341,61,0,61,430,1098,536,14,0,70,68
STATE,CAMPUS,2015-2016,101920101,BENDWOOD SCHOOL,101920,SPRING BRANCH ISD,4,101,HARRIS COUNTY,49,0,0,-9999999,0,-9999999,31,49,-9999999,0,0,49,0
STATE,CAMPUS,2015-2016,101919112,BENEKE EL,101919,SPRING ISD,4,101,HARRIS COUNTY,721,23,0,315,185,122,555,721,546,-9999999,0,45,6
STATE,CAMPUS,2015-2016,101915107,BENFER EL,101915,KLEIN ISD,4,101,HARRIS COUNTY,786,23,0,109,0,99,308,-9999999,281,-9999999,8,72,13
STATE,CAMPUS,2015-2016,101915124,BENIGNUS EL,101915,KLEIN ISD,4,101,HARRIS COUNTY,903,27,0,46,0,36,132,0,171,7,-9999999,73,23
STATE,CAMPUS,2015-2016,254901104,BENITO JUAREZ MIDDLE,254901,CRYSTAL CITY ISD,20,254,ZAVALA COUNTY,300,18,0,10,9,0,216,300,210,0,0,37,18
STATE,CAMPUS,2015-2016,71909112,BENITO MARTINEZ EL,71909,SOCORRO ISD,19,71,EL PASO COUNTY,589,17,0,145,122,-9999999,431,589,267,46,-9999999,88,-9999999
STATE,CAMPUS,2015-2016,115901101,BENITO MARTINEZ EL,115901,FT HANCOCK ISD,19,115,HUDSPETH COUNTY,201,7,0,131,181,0,188,201,155,0,0,18,0
STATE,CAMPUS,2015-2016,57905047,BENJAMIN FRANKLIN MIDDLE,57905,DALLAS ISD,10,57,DALLAS COUNTY,997,119,124,509,-9999999,466,853,997,708,0,0,82,30
STATE,CAMPUS,2015-2016,138904001,BENJAMIN SCHOOL,138904,BENJAMIN ISD,9,138,KNOX COUNTY,86,11,32,-9999999,0,-9999999,61,86,28,0,0,6,-9999999
STATE,CAMPUS,2015-2016,152907107,BENNETT EL,152907,FRENSHIP ISD,17,152,LUBBOCK COUNTY,780,51,0,18,0,17,344,780,233,-9999999,-9999999,110,39
STATE,CAMPUS,2015-2016,170908111,BENS BRANCH EL,170908,NEW CANEY ISD,6,170,MONTGOMERY COUNTY,836,87,0,329,384,67,435,641,501,5,-9999999,77,26
STATE,CAMPUS,2015-2016,232903101,BENSON EL,232903,UVALDE CISD,20,232,UVALDE COUNTY,339,38,0,19,16,-9999999,285,339,226,0,-9999999,45,18
STATE,CAMPUS,2015-2016,57916005,BERKNER H S,57916,RICHARDSON ISD,10,57,DALLAS COUNTY,2467,123,1859,244,0,242,1346,-9999999,1386,-9999999,6,242,86
STATE,CAMPUS,2015-2016,15915060,BERNAL MIDDLE,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,734,90,244,17,0,15,242,6,260,170,0,72,37
STATE,CAMPUS,2015-2016,66902041,BERNARDA JAIME J H,66902,SAN DIEGO ISD,2,66,DUVAL COUNTY,287,35,0,12,0,10,220,287,196,0,0,37,6
STATE,CAMPUS,2015-2016,101915129,BERNSHAUSEN EL,101915,KLEIN ISD,4,101,HARRIS COUNTY,804,7,0,171,119,51,402,0,320,8,5,63,21
STATE,CAMPUS,2015-2016,101912109,BERRY EL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,815,146,0,467,415,6,735,815,617,0,0,49,-9999999
STATE,CAMPUS,2015-2016,220901101,BERRY EL,220901,ARLINGTON ISD,11,220,TARRANT COUNTY,751,13,0,437,307,130,712,751,646,-9999999,0,51,-9999999
STATE,CAMPUS,2015-2016,57914047,BERRY MIDDLE,57914,MESQUITE ISD,10,57,DALLAS COUNTY,905,68,184,161,43,107,644,6,409,0,0,90,56
STATE,CAMPUS,2015-2016,20908044,BERRY MILLER J H,20908,PEARLAND ISD,4,20,BRAZORIA COUNTY,956,131,117,10,0,0,129,6,158,6,-9999999,82,34
STATE,CAMPUS,2015-2016,31912041,BERTA CABAZA MIDDLE,31912,SAN BENITO CISD,1,31,CAMERON COUNTY,949,50,257,115,0,103,738,949,519,14,0,75,-9999999
STATE,CAMPUS,2015-2016,108909136,BERTA S PALACIOS EL,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,533,5,0,405,420,0,524,533,500,0,0,33,0
STATE,CAMPUS,2015-2016,27903102,BERTRAM EL,27903,BURNET CISD,13,27,BURNET COUNTY,383,6,0,61,0,60,260,383,173,-9999999,-9999999,47,21
STATE,CAMPUS,2015-2016,20905111,BESS BRANNEN EL,20905,BRAZOSPORT ISD,4,20,BRAZORIA COUNTY,505,65,0,25,0,24,177,9,159,-9999999,-9999999,34,5
STATE,CAMPUS,2015-2016,79901119,BESS CAMPBELL EL,79901,LAMAR CISD,4,79,FORT BEND COUNTY,625,165,0,22,0,21,16,0,109,0,0,45,16
STATE,CAMPUS,2015-2016,220912101,BESS RACE EL,220912,CROWLEY ISD,11,220,TARRANT COUNTY,660,46,0,39,-9999999,34,361,0,164,10,6,53,14
STATE,CAMPUS,2015-2016,57904042,BESSIE COLEMAN MIDDLE,57904,CEDAR HILL ISD,10,57,DALLAS COUNTY,796,28,0,55,0,52,549,795,459,24,19,79,18
STATE,CAMPUS,2015-2016,101903118,BEST EL,101903,ALIEF ISD,4,101,HARRIS COUNTY,901,8,0,581,514,63,839,901,646,0,0,69,-9999999
STATE,CAMPUS,2015-2016,31901048,BESTEIRO MIDDLE,31901,BROWNSVILLE ISD,1,31,CAMERON COUNTY,755,88,123,214,0,211,753,755,548,0,0,119,30
STATE,CAMPUS,2015-2016,101870001,BETA ACADEMY,101870,BETA ACADEMY,4,101,HARRIS COUNTY,467,0,0,110,0,93,286,0,181,-9999999,0,14,0
STATE,CAMPUS,2015-2016,43910128,BETHANY EL,43910,PLANO ISD,10,43,COLLIN COUNTY,389,53,0,61,0,57,27,0,117,0,0,34,6
STATE,CAMPUS,2015-2016,101902102,BETHUNE ACADEMY,101902,ALDINE ISD,4,101,HARRIS COUNTY,439,43,0,88,72,11,370,439,218,0,5,28,28
STATE,CAMPUS,2015-2016,220907118,BETTE PEROT EL,220907,KELLER ISD,11,220,TARRANT COUNTY,639,66,0,27,0,26,56,5,118,14,-9999999,45,27
STATE,CAMPUS,2015-2016,108904104,BETTS EL,108904,EDINBURG CISD,1,108,HIDALGO COUNTY,479,5,0,256,256,0,430,479,354,0,0,21,-9999999
STATE,CAMPUS,2015-2016,108904047,BETTY HARWELL MIDDLE,108904,EDINBURG CISD,1,108,HIDALGO COUNTY,1382,46,87,477,0,477,1310,1382,988,-9999999,-9999999,74,5
STATE,CAMPUS,2015-2016,61901049,BETTYE MYERS MIDDLE,61901,DENTON ISD,11,61,DENTON COUNTY,904,88,314,177,0,175,555,0,480,31,-9999999,120,27
STATE,CAMPUS,2015-2016,43901117,BEVERLY CHEATHAM EL,43901,ALLEN ISD,10,43,COLLIN COUNTY,737,117,0,44,0,43,12,0,89,-9999999,0,62,26
STATE,CAMPUS,2015-2016,43910136,BEVERLY EL,43910,PLANO ISD,10,43,COLLIN COUNTY,486,84,0,47,0,46,63,0,100,0,0,53,7
STATE,CAMPUS,2015-2016,101917041,BEVERLY HILLS INT,101917,PASADENA ISD,4,101,HARRIS COUNTY,1023,63,0,92,-9999999,73,691,1023,492,7,0,83,60
STATE,CAMPUS,2015-2016,15904007,BEXAR CO J J A E P,15904,HARLANDALE ISD,20,15,BEXAR COUNTY,14,0,-9999999,0,0,0,10,0,14,0,0,-9999999,0
STATE,CAMPUS,2015-2016,15908037,BEXAR CO J J A E P,15908,SOUTH SAN ANTONIO ISD,20,15,BEXAR COUNTY,-9999999,0,0,0,0,0,-9999999,-9999999,-9999999,0,0,-9999999,0
