SCOPE,AGG_LEVEL,YEAR,CAMPUS NUMBER,CAMPUS NAME,GRADE GROUP,DISTRICT NUMBER,DISTRICT NAME,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,SUM_HOMELESS,TOTAL DYSLEXIC STUDENTS
STATE,CAMPUS,2017-2018,229901101,COLMESNEIL EL,ELEMENTARY,229901,COLMESNEIL ISD,5,229,TYLER COUNTY,267,0,0,0,0,0,182,267,112,0,0,24,7,0
STATE,CAMPUS,2017-2018,229901001,COLMESNEIL JH/HS,HIGH SCHOOL,229901,COLMESNEIL ISD,5,229,TYLER COUNTY,208,-9999999,150,0,0,0,116,208,60,0,0,26,7,6
STATE,CAMPUS,2017-2018,223901101,COLONIAL HEIGHTS EL,ELEMENTARY,223901,BROWNFIELD ISD,17,223,TERRY COUNTY,253,-9999999,0,30,0,29,225,253,92,-9999999,0,17,21,0
STATE,CAMPUS,2017-2018,15910103,COLONIAL HILLS EL,ELEMENTARY,15910,NORTH EAST ISD,20,15,BEXAR COUNTY,744,30,0,318,297,77,652,744,526,8,-9999999,82,7,6
STATE,CAMPUS,2017-2018,15915115,COLONIES NORTH EL,ELEMENTARY,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,751,30,0,311,0,297,562,751,481,13,6,71,17,13
STATE,CAMPUS,2017-2018,79907117,COLONY BEND EL,ELEMENTARY,79907,FORT BEND ISD,4,79,FORT BEND COUNTY,512,22,0,165,0,163,102,12,285,-9999999,0,66,13,13
STATE,CAMPUS,2017-2018,79907128,COLONY MEADOWS EL,ELEMENTARY,79907,FORT BEND ISD,4,79,FORT BEND COUNTY,752,109,0,173,0,162,69,0,335,-9999999,0,37,0,12
STATE,CAMPUS,2017-2018,168901100,COLORADO EL AND MIDDLE,ELEMENTARY,168901,COLORADO ISD,14,168,MITCHELL COUNTY,738,18,0,33,0,33,441,738,499,0,-9999999,72,10,10
STATE,CAMPUS,2017-2018,168901001,COLORADO H S,HIGH SCHOOL,168901,COLORADO ISD,14,168,MITCHELL COUNTY,242,29,232,-9999999,0,-9999999,121,242,127,-9999999,0,20,0,26
STATE,CAMPUS,2017-2018,11901005,COLORADO RIVER COLLEGIATE ACADEMY,HIGH SCHOOL,11901,BASTROP ISD,13,11,BASTROP COUNTY,215,19,122,-9999999,0,-9999999,123,0,84,-9999999,-9999999,-9999999,-9999999,20
STATE,CAMPUS,2017-2018,27904102,COLT EL,ELEMENTARY,27904,MARBLE FALLS ISD,13,27,BURNET COUNTY,627,30,0,137,115,21,413,627,336,-9999999,16,88,5,12
STATE,CAMPUS,2017-2018,20907001,COLUMBIA H S,HIGH SCHOOL,20907,COLUMBIA-BRAZORIA ISD,4,20,BRAZORIA COUNTY,898,59,819,10,0,9,463,41,432,-9999999,0,91,41,48
STATE,CAMPUS,2017-2018,15904104,COLUMBIA HEIGHTS EL,ELEMENTARY,15904,HARLANDALE ISD,20,15,BEXAR COUNTY,435,34,0,167,198,8,381,435,347,9,0,38,-9999999,-9999999
STATE,CAMPUS,2017-2018,45902002,COLUMBUS ALTERNATIVE SCHOOL,ELEMENTARY / SECONDARY,45902,COLUMBUS ISD,3,45,COLORADO COUNTY,6,0,-9999999,0,0,0,6,0,6,0,0,-9999999,0,0
STATE,CAMPUS,2017-2018,45902003,COLUMBUS ALTERNATIVE SCHOOL NEW UL,ELEMENTARY / SECONDARY,45902,COLUMBUS ISD,3,45,COLORADO COUNTY,39,0,19,0,0,0,39,0,39,0,39,29,0,0
STATE,CAMPUS,2017-2018,45902101,COLUMBUS EL,ELEMENTARY,45902,COLUMBUS ISD,3,45,COLORADO COUNTY,694,18,0,148,0,147,474,694,346,-9999999,0,85,47,13
STATE,CAMPUS,2017-2018,45902001,COLUMBUS H S,HIGH SCHOOL,45902,COLUMBUS ISD,3,45,COLORADO COUNTY,470,16,402,22,0,22,234,0,249,-9999999,0,43,21,13
STATE,CAMPUS,2017-2018,45902041,COLUMBUS J H,MIDDLE SCHOOL,45902,COLUMBUS ISD,3,45,COLORADO COUNTY,330,11,0,27,0,27,209,0,175,-9999999,-9999999,46,25,18
STATE,CAMPUS,2017-2018,46902201,COMAL ACADEMY,HIGH SCHOOL,46902,COMAL ISD,20,46,COMAL COUNTY,35,0,14,-9999999,0,-9999999,10,0,30,0,0,6,-9999999,0
STATE,CAMPUS,2017-2018,46902206,COMAL DISCIPLINE CENTER,ELEMENTARY / SECONDARY,46902,COMAL ISD,20,46,COMAL COUNTY,39,0,22,-9999999,0,-9999999,19,0,39,-9999999,-9999999,8,0,-9999999
STATE,CAMPUS,2017-2018,47901103,COMANCHE EARLY CHILDHOOD CENTER,ELEMENTARY,47901,COMANCHE ISD,14,47,COMANCHE COUNTY,68,0,0,6,0,6,68,0,8,0,-9999999,-9999999,0,0
STATE,CAMPUS,2017-2018,47901101,COMANCHE EL,ELEMENTARY,47901,COMANCHE ISD,14,47,COMANCHE COUNTY,659,26,0,130,96,34,442,659,365,-9999999,7,80,20,13
STATE,CAMPUS,2017-2018,47901001,COMANCHE H S,HIGH SCHOOL,47901,COMANCHE ISD,14,47,COMANCHE COUNTY,323,23,279,15,0,15,185,15,140,-9999999,0,26,16,19
STATE,CAMPUS,2017-2018,220918110,COMANCHE SPRINGS EL,ELEMENTARY,220918,EAGLE MT-SAGINAW ISD,11,220,TARRANT COUNTY,662,39,0,45,0,44,188,0,199,27,-9999999,58,-9999999,21
STATE,CAMPUS,2017-2018,130902101,COMFORT EL,ELEMENTARY,130902,COMFORT ISD,13,130,KENDALL COUNTY,515,7,0,76,0,67,342,515,194,0,-9999999,61,-9999999,7
STATE,CAMPUS,2017-2018,130902001,COMFORT H S,HIGH SCHOOL,130902,COMFORT ISD,13,130,KENDALL COUNTY,332,19,330,22,0,18,138,332,152,0,0,44,-9999999,18
STATE,CAMPUS,2017-2018,130902041,COMFORT MIDDLE,MIDDLE SCHOOL,130902,COMFORT ISD,13,130,KENDALL COUNTY,253,9,26,22,0,14,120,253,100,0,0,32,0,15
STATE,CAMPUS,2017-2018,116903101,COMMERCE EL,ELEMENTARY,116903,COMMERCE ISD,10,116,HUNT COUNTY,385,14,0,54,0,54,280,385,198,-9999999,-9999999,39,-9999999,8
STATE,CAMPUS,2017-2018,116903001,COMMERCE H S,HIGH SCHOOL,116903,COMMERCE ISD,10,116,HUNT COUNTY,450,28,419,26,0,26,237,0,277,-9999999,0,52,0,23
STATE,CAMPUS,2017-2018,116903043,COMMERCE MIDDLE,MIDDLE SCHOOL,116903,COMMERCE ISD,10,116,HUNT COUNTY,331,30,110,15,0,15,185,0,163,-9999999,0,40,0,11
STATE,CAMPUS,2017-2018,79907135,COMMONWEALTH EL,ELEMENTARY,79907,FORT BEND ISD,4,79,FORT BEND COUNTY,939,224,0,148,0,143,20,-9999999,202,-9999999,-9999999,32,-9999999,8
STATE,CAMPUS,2017-2018,220901105,COMMUNITY BASED PK,ELEMENTARY,220901,ARLINGTON ISD,11,220,TARRANT COUNTY,488,0,0,152,-9999999,149,408,488,162,7,0,-9999999,10,0
STATE,CAMPUS,2017-2018,43918001,COMMUNITY H S,HIGH SCHOOL,43918,COMMUNITY ISD,10,43,COLLIN COUNTY,622,55,581,50,0,47,272,0,262,13,0,56,15,53
STATE,CAMPUS,2017-2018,101912013,COMMUNITY SERVICES-SEC,ELEMENTARY / SECONDARY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,86,-9999999,0,27,0,27,38,27,82,0,0,8,24,0
STATE,CAMPUS,2017-2018,220905117,COMO EL,ELEMENTARY,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,460,31,0,110,74,43,427,460,339,0,0,34,5,5
STATE,CAMPUS,2017-2018,220905063,COMO MONTESSORI,ELEMENTARY,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,320,46,0,66,0,65,200,320,230,0,0,32,-9999999,13
STATE,CAMPUS,2017-2018,112908001,COMO-PICKTON SCHOOL,ELEMENTARY / SECONDARY,112908,COMO-PICKTON CISD,8,112,HOPKINS COUNTY,747,38,234,189,76,113,542,747,392,-9999999,-9999999,73,-9999999,40
STATE,CAMPUS,2017-2018,68802001,COMPASS ACADEMY CHARTER SCHOOL,ELEMENTARY / SECONDARY,68802,COMPASS ACADEMY CHARTER SCHOOL,18,68,ECTOR COUNTY,1027,14,0,-9999999,0,-9999999,180,0,52,0,0,66,0,25
STATE,CAMPUS,2017-2018,37904004,COMPASS CENTER,ELEMENTARY / SECONDARY,37904,JACKSONVILLE ISD,7,37,CHEROKEE COUNTY,-9999999,0,-9999999,0,0,0,-9999999,-9999999,-9999999,0,0,-9999999,0,0
STATE,CAMPUS,2017-2018,15838001,COMPASS ROSE ACADEMY,ELEMENTARY / SECONDARY,15838,COMPASS ROSE ACADEMY,20,15,BEXAR COUNTY,90,0,0,12,0,10,71,0,16,-9999999,0,10,-9999999,-9999999
STATE,CAMPUS,2017-2018,101842001,COMQUEST ACADEMY,ELEMENTARY / SECONDARY,101842,COMQUEST ACADEMY,4,101,HARRIS COUNTY,75,0,33,23,-9999999,15,51,75,66,0,0,-9999999,0,0
STATE,CAMPUS,2017-2018,43905132,COMSTOCK EL,ELEMENTARY,43905,FRISCO ISD,10,43,COLLIN COUNTY,732,60,0,43,-9999999,40,66,-9999999,141,5,0,60,-9999999,27
STATE,CAMPUS,2017-2018,233903001,COMSTOCK SCHOOL,ELEMENTARY / SECONDARY,233903,COMSTOCK ISD,15,233,VAL VERDE COUNTY,212,14,75,8,0,8,61,212,88,24,0,19,0,6
STATE,CAMPUS,2017-2018,101912130,CONDIT EL,ELEMENTARY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,766,295,0,175,69,103,281,0,444,0,0,47,11,5
STATE,CAMPUS,2017-2018,71907106,CONGRESSMAN SILVESTRE & CAROLINA S,ELEMENTARY,71907,CANUTILLO ISD,19,71,EL PASO COUNTY,667,62,0,220,274,19,181,667,396,75,0,61,11,0
STATE,CAMPUS,2017-2018,101902123,CONLEY EL,ELEMENTARY,101902,ALDINE ISD,4,101,HARRIS COUNTY,789,-9999999,0,293,238,47,711,789,542,0,-9999999,47,25,36
STATE,CAMPUS,2017-2018,161921106,CONNALLY EARLY CHILDHOOD CENTER,ELEMENTARY,161921,CONNALLY ISD,12,161,MCLENNAN COUNTY,319,0,0,35,10,25,272,319,192,-9999999,9,23,-9999999,0
STATE,CAMPUS,2017-2018,161921104,CONNALLY EL,ELEMENTARY,161921,CONNALLY ISD,12,161,MCLENNAN COUNTY,333,38,0,51,0,51,277,333,216,-9999999,-9999999,16,-9999999,62
STATE,CAMPUS,2017-2018,161921001,CONNALLY HIGH SCHOOL,HIGH SCHOOL,161921,CONNALLY ISD,12,161,MCLENNAN COUNTY,633,31,632,30,0,29,455,0,353,-9999999,-9999999,50,9,14
STATE,CAMPUS,2017-2018,161921041,CONNALLY J H,MIDDLE SCHOOL,161921,CONNALLY ISD,12,161,MCLENNAN COUNTY,507,31,0,51,0,51,400,507,392,0,-9999999,43,6,37
STATE,CAMPUS,2017-2018,15915052,CONNALLY MIDDLE,MIDDLE SCHOOL,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,953,119,209,47,0,35,411,27,512,35,0,113,12,63
STATE,CAMPUS,2017-2018,161921101,CONNALLY PRI,ELEMENTARY,161921,CONNALLY ISD,12,161,MCLENNAN COUNTY,543,21,0,77,0,77,462,543,209,-9999999,6,42,-9999999,25
STATE,CAMPUS,2017-2018,170902001,CONROE H S,HIGH SCHOOL,170902,CONROE ISD,6,170,MONTGOMERY COUNTY,3960,167,2175,514,0,484,2262,68,2049,7,-9999999,367,68,169
STATE,CAMPUS,2017-2018,71905139,CONSTANCE HULBERT EL,ELEMENTARY,71905,YSLETA ISD,19,71,EL PASO COUNTY,394,9,0,207,180,0,368,394,281,-9999999,0,47,9,5
STATE,CAMPUS,2017-2018,15916101,CONVERSE EL,ELEMENTARY,15916,JUDSON ISD,20,15,BEXAR COUNTY,574,32,0,16,0,0,397,574,328,53,8,72,8,50
STATE,CAMPUS,2017-2018,227901161,COOK EL,ELEMENTARY,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,453,24,0,317,303,13,420,453,390,0,0,47,9,35
STATE,CAMPUS,2017-2018,101912358,COOK JR EL,ELEMENTARY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,669,10,0,168,115,36,641,668,486,0,-9999999,48,5,7
STATE,CAMPUS,2017-2018,101907047,COOK MIDDLE,MIDDLE SCHOOL,101907,CYPRESS-FAIRBANKS ISD,4,101,HARRIS COUNTY,1584,135,382,195,0,181,883,1584,745,-9999999,-9999999,114,10,35
STATE,CAMPUS,2017-2018,126903109,COOKE EL,ELEMENTARY,126903,CLEBURNE ISD,11,126,JOHNSON COUNTY,556,13,0,256,224,33,464,556,385,-9999999,-9999999,36,10,11
STATE,CAMPUS,2017-2018,91906004,COOKE/FANNIN/GRAYSON CO JUVENILE P,ELEMENTARY / SECONDARY,91906,SHERMAN ISD,10,91,GRAYSON COUNTY,51,0,10,-9999999,0,0,33,0,50,0,0,15,0,0
STATE,CAMPUS,2017-2018,71902111,COOLEY EL,ELEMENTARY,71902,EL PASO ISD,19,71,EL PASO COUNTY,528,31,0,382,406,0,508,528,454,6,0,66,8,-9999999
STATE,CAMPUS,2017-2018,147901101,COOLIDGE EL,ELEMENTARY,147901,COOLIDGE ISD,12,147,LIMESTONE COUNTY,164,0,0,28,0,28,131,164,37,-9999999,0,19,0,10
STATE,CAMPUS,2017-2018,147901001,COOLIDGE H S,ELEMENTARY / SECONDARY,147901,COOLIDGE ISD,12,147,LIMESTONE COUNTY,145,-9999999,85,15,0,15,115,145,55,0,0,27,-9999999,6
STATE,CAMPUS,2017-2018,101912132,COOP EL,ELEMENTARY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,739,94,0,337,426,0,699,739,574,0,0,47,27,22
STATE,CAMPUS,2017-2018,15907024,COOPER ACADEMY AT NAVARRO,HIGH SCHOOL,15907,SAN ANTONIO ISD,20,15,BEXAR COUNTY,318,-9999999,96,20,0,13,298,318,314,0,0,15,12,32
STATE,CAMPUS,2017-2018,57909107,COOPER EL,ELEMENTARY,57909,GARLAND ISD,10,57,DALLAS COUNTY,581,8,0,316,232,81,439,581,368,-9999999,0,59,-9999999,-9999999
STATE,CAMPUS,2017-2018,60902101,COOPER EL,ELEMENTARY,60902,COOPER ISD,8,60,DELTA COUNTY,395,25,0,13,0,13,283,395,111,0,6,32,-9999999,23
STATE,CAMPUS,2017-2018,60902001,COOPER H S,HIGH SCHOOL,60902,COOPER ISD,8,60,DELTA COUNTY,244,33,239,0,0,0,111,244,70,-9999999,-9999999,25,-9999999,22
STATE,CAMPUS,2017-2018,221901002,COOPER H S,HIGH SCHOOL,221901,ABILENE ISD,14,221,TAYLOR COUNTY,1787,109,1290,69,0,68,1180,24,1003,80,-9999999,240,70,22
STATE,CAMPUS,2017-2018,60902041,COOPER J H,MIDDLE SCHOOL,60902,COOPER ISD,8,60,DELTA COUNTY,183,31,34,6,0,6,106,183,35,-9999999,-9999999,22,0,14
STATE,CAMPUS,2017-2018,101907130,COPELAND EL,ELEMENTARY,101907,CYPRESS-FAIRBANKS ISD,4,101,HARRIS COUNTY,1011,65,0,102,0,100,349,6,372,12,-9999999,92,6,25
STATE,CAMPUS,2017-2018,101925103,COPELAND EL,ELEMENTARY,101925,HUFFMAN ISD,4,101,HARRIS COUNTY,1041,74,0,86,42,37,450,1041,466,7,-9999999,86,70,31
STATE,CAMPUS,2017-2018,221801014,COPPELL CLASSICAL ACADEMY,ELEMENTARY / SECONDARY,221801,TEXAS COLLEGE PREPARATORY ACADEMIE,14,221,TAYLOR COUNTY,370,0,0,66,0,65,70,0,99,-9999999,0,21,0,7
STATE,CAMPUS,2017-2018,57922001,COPPELL H S,HIGH SCHOOL,57922,COPPELL ISD,10,57,DALLAS COUNTY,3530,956,2189,96,0,92,279,9,582,-9999999,0,184,9,177
STATE,CAMPUS,2017-2018,57922042,COPPELL MIDDLE EAST,MIDDLE SCHOOL,57922,COPPELL ISD,10,57,DALLAS COUNTY,972,218,101,53,0,52,78,-9999999,143,0,0,50,-9999999,27
STATE,CAMPUS,2017-2018,57922044,COPPELL MIDDLE NORTH,MIDDLE SCHOOL,57922,COPPELL ISD,10,57,DALLAS COUNTY,949,265,203,56,0,54,86,-9999999,212,-9999999,0,69,-9999999,52
STATE,CAMPUS,2017-2018,57922043,COPPELL MIDDLE WEST,MIDDLE SCHOOL,57922,COPPELL ISD,10,57,DALLAS COUNTY,1206,290,138,75,0,73,112,1206,211,0,0,53,8,60
STATE,CAMPUS,2017-2018,50910001,COPPERAS COVE H S,HIGH SCHOOL,50910,COPPERAS COVE ISD,12,50,CORYELL COUNTY,2214,179,1932,52,0,48,971,23,412,427,7,216,23,106
STATE,CAMPUS,2017-2018,50910041,COPPERAS COVE J H,MIDDLE SCHOOL,50910,COPPERAS COVE ISD,12,50,CORYELL COUNTY,827,87,237,41,0,37,461,9,465,160,-9999999,106,9,74
STATE,CAMPUS,2017-2018,15916119,COPPERFIELD EL,ELEMENTARY,15916,JUDSON ISD,20,15,BEXAR COUNTY,662,39,0,14,-9999999,6,372,0,324,131,-9999999,68,8,25
STATE,CAMPUS,2017-2018,227904111,COPPERFIELD EL,ELEMENTARY,227904,PFLUGERVILLE ISD,13,227,TRAVIS COUNTY,413,26,0,205,157,46,260,413,267,-9999999,-9999999,47,14,14
STATE,CAMPUS,2017-2018,220908121,CORA SPENCER EL,ELEMENTARY,220908,MANSFIELD ISD,11,220,TARRANT COUNTY,736,32,0,60,0,59,113,0,101,23,0,62,-9999999,-9999999
STATE,CAMPUS,2017-2018,79901125,CORA THOMAS EL,ELEMENTARY,79901,LAMAR CISD,4,79,FORT BEND COUNTY,870,38,0,136,0,132,393,870,517,-9999999,-9999999,75,7,7
STATE,CAMPUS,2017-2018,43905121,CORBELL EL,ELEMENTARY,43905,FRISCO ISD,10,43,COLLIN COUNTY,722,51,0,48,0,46,128,-9999999,191,13,-9999999,89,-9999999,41
STATE,CAMPUS,2017-2018,220901137,COREY FINE ARTS / DUAL LANGUAGE AC,ELEMENTARY,220901,ARLINGTON ISD,11,220,TARRANT COUNTY,580,104,0,54,244,17,181,0,265,7,0,35,-9999999,12
STATE,CAMPUS,2017-2018,108912124,CORINA PENA EL,ELEMENTARY,108912,LA JOYA ISD,1,108,HIDALGO COUNTY,702,43,0,510,490,0,656,702,621,0,0,56,-9999999,-9999999
STATE,CAMPUS,2017-2018,221801064,CORINTH CLASSICAL ACADEMY,ELEMENTARY / SECONDARY,221801,TEXAS COLLEGE PREPARATORY ACADEMIE,14,221,TAYLOR COUNTY,528,0,0,-9999999,0,-9999999,52,0,33,8,0,38,0,28
STATE,CAMPUS,2017-2018,221801020,CORINTH CLASSICAL UPPER SCHOOL,ELEMENTARY / SECONDARY,221801,TEXAS COLLEGE PREPARATORY ACADEMIE,14,221,TAYLOR COUNTY,135,0,41,-9999999,0,-9999999,6,0,5,-9999999,0,6,0,-9999999
STATE,CAMPUS,2017-2018,61912103,CORINTH EL,ELEMENTARY,61912,LAKE DALLAS ISD,11,61,DENTON COUNTY,590,40,0,48,14,34,259,587,222,7,-9999999,63,-9999999,47
STATE,CAMPUS,2017-2018,101912133,CORNELIUS EL,ELEMENTARY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,907,138,0,413,344,-9999999,835,907,678,0,-9999999,43,10,13
STATE,CAMPUS,2017-2018,101920048,CORNERSTONE ACADEMY,MIDDLE SCHOOL,101920,SPRING BRANCH ISD,4,101,HARRIS COUNTY,373,123,0,11,-9999999,8,104,-9999999,59,0,-9999999,8,21,9
STATE,CAMPUS,2017-2018,79907147,CORNERSTONE EL,ELEMENTARY,79907,FORT BEND ISD,4,79,FORT BEND COUNTY,1131,277,0,245,0,227,31,-9999999,284,0,-9999999,59,-9999999,8
STATE,CAMPUS,2017-2018,188901104,CORONADO EL,ELEMENTARY,188901,AMARILLO ISD,16,188,POTTER COUNTY,501,23,0,25,0,25,314,501,175,0,9,53,12,23
STATE,CAMPUS,2017-2018,71902005,CORONADO H S,HIGH SCHOOL,71902,EL PASO ISD,19,71,EL PASO COUNTY,2813,558,1706,423,-9999999,364,1211,2813,1179,31,0,178,9,17
STATE,CAMPUS,2017-2018,152901020,CORONADO H S,HIGH SCHOOL,152901,LUBBOCK ISD,17,152,LUBBOCK COUNTY,2134,56,1938,34,0,34,856,2134,1091,8,-9999999,296,38,75
STATE,CAMPUS,2017-2018,95905043,CORONADO MIDDLE,MIDDLE SCHOOL,95905,PLAINVIEW ISD,17,95,HALE COUNTY,613,78,111,51,0,51,446,613,394,0,-9999999,66,-9999999,25
STATE,CAMPUS,2017-2018,15916104,CORONADO VILLAGE EL,ELEMENTARY,15916,JUDSON ISD,20,15,BEXAR COUNTY,381,33,0,99,182,0,221,0,305,22,-9999999,40,5,18
STATE,CAMPUS,2017-2018,15801002,CORPUS CHRISTI COLLEGE PREP H S,HIGH SCHOOL,15801,POR VIDA ACADEMY,20,15,BEXAR COUNTY,68,0,66,0,0,0,49,68,38,0,0,6,0,0
STATE,CAMPUS,2017-2018,178807101,CORPUS CHRISTI MONTESSORI SCHOOL,ELEMENTARY,178807,CORPUS CHRISTI MONTESSORI SCHOOL,2,178,NUECES COUNTY,145,0,0,-9999999,0,-9999999,25,0,6,5,-9999999,12,0,6
STATE,CAMPUS,2017-2018,187904103,CORRIGAN-CAMDEN EL,ELEMENTARY,187904,CORRIGAN-CAMDEN ISD,6,187,POLK COUNTY,429,16,0,69,0,65,370,429,240,-9999999,7,36,8,15
STATE,CAMPUS,2017-2018,187904001,CORRIGAN-CAMDEN H S,HIGH SCHOOL,187904,CORRIGAN-CAMDEN ISD,6,187,POLK COUNTY,273,20,251,24,0,24,199,273,107,-9999999,-9999999,32,-9999999,15
STATE,CAMPUS,2017-2018,187904041,CORRIGAN-CAMDEN J H,MIDDLE SCHOOL,187904,CORRIGAN-CAMDEN ISD,6,187,POLK COUNTY,190,14,24,28,0,25,158,190,154,-9999999,-9999999,16,-9999999,15
STATE,CAMPUS,2017-2018,175903001,CORSICANA H IGH SCHOOL,HIGH SCHOOL,175903,CORSICANA ISD,12,175,NAVARRO COUNTY,1658,185,1539,104,0,87,1072,1658,794,6,-9999999,156,15,113
STATE,CAMPUS,2017-2018,175903041,CORSICANA MIDDLE,JUNIOR HIGH SCHOOL,175903,CORSICANA ISD,12,175,NAVARRO COUNTY,830,81,231,129,0,123,658,830,439,0,0,88,-9999999,83
STATE,CAMPUS,2017-2018,3903123,COSTON EL,ELEMENTARY,3903,LUFKIN ISD,7,3,ANGELINA COUNTY,259,0,0,83,16,66,244,259,191,0,0,37,-9999999,33
STATE,CAMPUS,2017-2018,95902001,COTTON CENTER SCHOOL,ELEMENTARY / SECONDARY,95902,COTTON CENTER ISD,17,95,HALE COUNTY,117,-9999999,51,-9999999,0,-9999999,101,117,40,0,0,8,-9999999,7
STATE,CAMPUS,2017-2018,57922109,COTTONWOOD CREEK EL,ELEMENTARY,57922,COPPELL ISD,10,57,DALLAS COUNTY,499,35,0,64,0,63,21,0,107,0,0,36,0,13
STATE,CAMPUS,2017-2018,246906103,COTTONWOOD CREEK EL,ELEMENTARY,246906,HUTTO ISD,13,246,WILLIAMSON COUNTY,615,20,0,17,0,17,248,615,253,11,-9999999,118,39,48
STATE,CAMPUS,2017-2018,142901001,COTULLA H S,HIGH SCHOOL,142901,COTULLA ISD,20,142,LA SALLE COUNTY,361,59,323,19,0,16,312,361,227,-9999999,0,38,-9999999,34
STATE,CAMPUS,2017-2018,57903112,COUNTRY PLACE EL,ELEMENTARY,57903,CARROLLTON-FARMERS BRANCH ISD,10,57,DALLAS COUNTY,412,31,0,63,13,49,200,412,115,0,0,88,-9999999,-9999999
STATE,CAMPUS,2017-2018,46901106,COUNTY LINE EL,ELEMENTARY,46901,NEW BRAUNFELS ISD,13,46,COMAL COUNTY,368,16,0,19,0,16,107,0,97,9,-9999999,31,5,23
STATE,CAMPUS,2017-2018,43907006,COUNTY RESIDENTIAL CENTER,ELEMENTARY / SECONDARY,43907,MCKINNEY ISD,10,43,COLLIN COUNTY,66,0,12,-9999999,0,-9999999,5,0,66,0,0,16,0,-9999999
STATE,CAMPUS,2017-2018,246914101,COUPLAND EL,ELEMENTARY,246914,COUPLAND ISD,13,246,WILLIAMSON COUNTY,165,17,8,9,0,9,47,77,70,-9999999,0,9,0,5
STATE,CAMPUS,2017-2018,14803003,COVE CHARTER ACADEMY,ELEMENTARY / SECONDARY,14803,PRIORITY CHARTER SCHOOLS,12,14,BELL COUNTY,296,0,67,8,0,7,204,296,63,27,-9999999,27,-9999999,-9999999
STATE,CAMPUS,2017-2018,227901057,COVINGTON MIDDLE,MIDDLE SCHOOL,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,660,46,380,110,0,109,389,165,368,6,0,115,10,90
STATE,CAMPUS,2017-2018,109903001,COVINGTON SCHOOL,ELEMENTARY / SECONDARY,109903,COVINGTON ISD,12,109,HILL COUNTY,298,12,133,-9999999,0,-9999999,143,298,120,-9999999,0,39,0,9
STATE,CAMPUS,2017-2018,227901183,COWAN EL,ELEMENTARY,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,841,74,0,72,19,50,257,19,268,-9999999,7,89,20,60
STATE,CAMPUS,2017-2018,177902101,COWEN EARLY CHILDHOOD CENTER,ELEMENTARY,177902,SWEETWATER ISD,14,177,NOLAN COUNTY,170,0,0,-9999999,0,-9999999,167,-9999999,7,0,0,10,-9999999,0
STATE,CAMPUS,2017-2018,170902077,COX INT,MIDDLE SCHOOL,170902,CONROE ISD,6,170,MONTGOMERY COUNTY,1478,192,0,45,-9999999,35,259,-9999999,361,18,-9999999,102,-9999999,95
STATE,CAMPUS,2017-2018,57909050,COYLE MIDDLE,MIDDLE SCHOOL,57909,GARLAND ISD,10,57,DALLAS COUNTY,1033,36,261,156,0,138,587,1033,514,20,0,91,7,28
STATE,CAMPUS,2017-2018,61902140,COYOTE RIDGE EL,ELEMENTARY,61902,LEWISVILLE ISD,11,61,DENTON COUNTY,688,35,0,144,0,142,218,0,266,0,0,72,6,0
STATE,CAMPUS,2017-2018,221901048,CRAIG MIDDLE,MIDDLE SCHOOL,221901,ABILENE ISD,14,221,TAYLOR COUNTY,962,103,405,70,0,70,729,10,554,12,11,128,32,12
STATE,CAMPUS,2017-2018,235902106,CRAIN EL,ELEMENTARY,235902,VICTORIA ISD,3,235,VICTORIA COUNTY,381,-9999999,0,24,0,24,332,381,153,0,0,42,28,-9999999
STATE,CAMPUS,2017-2018,129901002,CRANDALL COMPASS ACADEMY,HIGH SCHOOL,129901,CRANDALL ISD,10,129,KAUFMAN COUNTY,35,0,10,-9999999,0,-9999999,15,0,32,0,0,-9999999,0,-9999999
STATE,CAMPUS,2017-2018,129901001,CRANDALL H S,HIGH SCHOOL,129901,CRANDALL ISD,10,129,KAUFMAN COUNTY,1082,52,1034,48,0,47,415,0,458,11,-9999999,104,-9999999,44
STATE,CAMPUS,2017-2018,129901041,CRANDALL MIDDLE,JUNIOR HIGH SCHOOL,129901,CRANDALL ISD,10,129,KAUFMAN COUNTY,641,37,0,50,0,49,284,0,323,13,-9999999,55,-9999999,38
