YEAR,DISTRICT ID,DESCRIPTION
2015,80901,NON-METROPOLITAN STABLE
2015,49902,RURAL
2015,9901,NON-METROPOLITAN STABLE
2015,167902,RURAL
2015,198906,RURAL
2015,138903,RURAL
2015,107908,RURAL
2015,174904,INDEPENDENT TOWN
2015,163903,NON-METROPOLITAN STABLE
2015,94903,OTHER CENTRAL CITY SUBURBAN
2015,93904,OTHER CENTRAL CITY SUBURBAN
2015,35903,RURAL
2015,1906,RURAL
2015,123905,OTHER CENTRAL CITY SUBURBAN
2015,79906,OTHER CENTRAL CITY SUBURBAN
2015,19905,NON-METROPOLITAN STABLE
2015,46901,OTHER CENTRAL CITY
2015,170908,OTHER CENTRAL CITY SUBURBAN
2015,152902,RURAL
2015,230906,OTHER CENTRAL CITY SUBURBAN
2015,15805,CHARTER SCHOOL DISTRICTS
2015,153905,NON-METROPOLITAN FAST GROWING
2015,37908,RURAL
2015,236901,NON-METROPOLITAN STABLE
2015,252902,RURAL
2015,220817,CHARTER SCHOOL DISTRICTS
2015,176902,NON-METROPOLITAN STABLE
2015,89903,NON-METROPOLITAN STABLE
2015,169902,RURAL
2015,62902,RURAL
2015,145906,RURAL
2015,15910,MAJOR URBAN
2015,112906,RURAL
2015,139911,INDEPENDENT TOWN
2015,154903,RURAL
2015,15915,MAJOR URBAN
2015,244905,RURAL
2015,61911,OTHER CENTRAL CITY SUBURBAN
2015,101848,CHARTER SCHOOL DISTRICTS
2015,57809,CHARTER SCHOOL DISTRICTS
2015,57827,CHARTER SCHOOL DISTRICTS
2015,69902,RURAL
2015,235904,RURAL
2015,227804,CHARTER SCHOOL DISTRICTS
2015,153903,RURAL
2015,145907,RURAL
2015,205905,NON-METROPOLITAN STABLE
2015,84802,CHARTER SCHOOL DISTRICTS
2015,50904,RURAL
2015,200906,RURAL
2015,252903,RURAL
2015,140905,RURAL
2015,187910,NON-METROPOLITAN STABLE
2015,125903,NON-METROPOLITAN STABLE
2015,181905,OTHER CENTRAL CITY SUBURBAN
2015,230903,NON-METROPOLITAN STABLE
2015,14804,CHARTER SCHOOL DISTRICTS
2015,201908,RURAL
2015,51901,RURAL
2015,104907,RURAL
2015,48903,RURAL
2015,158905,NON-METROPOLITAN STABLE
2015,1907,INDEPENDENT TOWN
2015,70910,OTHER CENTRAL CITY SUBURBAN
2015,182906,RURAL
2015,90904,NON-METROPOLITAN STABLE
2015,33902,RURAL
2015,183801,CHARTER SCHOOL DISTRICTS
2015,42905,RURAL
2015,249906,NON-METROPOLITAN STABLE
2015,139909,INDEPENDENT TOWN
2015,101917,MAJOR SUBURBAN
2015,71803,CHARTER SCHOOL DISTRICTS
2015,63906,RURAL
2015,13902,RURAL
2015,20908,MAJOR SUBURBAN
2015,82903,NON-METROPOLITAN STABLE
2015,184908,OTHER CENTRAL CITY SUBURBAN
2015,195901,NON-METROPOLITAN STABLE
2015,57802,CHARTER SCHOOL DISTRICTS
2015,109914,RURAL
2015,119903,RURAL
2015,179901,NON-METROPOLITAN STABLE
2015,95904,RURAL
2015,39903,RURAL
2015,13903,RURAL
2015,172905,NON-METROPOLITAN STABLE
2015,227904,MAJOR SUBURBAN
2015,108909,OTHER CENTRAL CITY
2015,116801,CHARTER SCHOOL DISTRICTS
2015,61903,OTHER CENTRAL CITY SUBURBAN
2015,92904,OTHER CENTRAL CITY SUBURBAN
2015,3801,CHARTER SCHOOL DISTRICTS
2015,32902,NON-METROPOLITAN STABLE
2015,251902,RURAL
2015,95905,INDEPENDENT TOWN
2015,43910,MAJOR SUBURBAN
2015,19912,NON-METROPOLITAN STABLE
2015,7905,INDEPENDENT TOWN
2015,117904,RURAL
2015,31909,OTHER CENTRAL CITY SUBURBAN
2015,61906,OTHER CENTRAL CITY SUBURBAN
2015,184901,RURAL
2015,15801,CHARTER SCHOOL DISTRICTS
2015,178908,RURAL
2015,123907,OTHER CENTRAL CITY SUBURBAN
2015,123908,OTHER CENTRAL CITY SUBURBAN
2015,15814,CHARTER SCHOOL DISTRICTS
2015,85902,NON-METROPOLITAN STABLE
2015,7906,NON-METROPOLITAN STABLE
2015,247904,RURAL
2015,91913,OTHER CENTRAL CITY SUBURBAN
2015,28906,RURAL
2015,169909,RURAL
2015,139912,NON-METROPOLITAN STABLE
2015,72801,CHARTER SCHOOL DISTRICTS
2015,84805,CHARTER SCHOOL DISTRICTS
2015,125905,RURAL
2015,189902,NON-METROPOLITAN STABLE
2015,167904,RURAL
2015,220818,CHARTER SCHOOL DISTRICTS
2015,43911,NON-METROPOLITAN FAST GROWING
2015,98903,RURAL
2015,14803,CHARTER SCHOOL DISTRICTS
2015,108910,NON-METROPOLITAN STABLE
2015,101853,CHARTER SCHOOL DISTRICTS
2015,43912,OTHER CENTRAL CITY SUBURBAN
2015,99903,RURAL
2015,34907,NON-METROPOLITAN STABLE
2015,116908,OTHER CENTRAL CITY SUBURBAN
2015,250904,INDEPENDENT TOWN
2015,15815,CHARTER SCHOOL DISTRICTS
2015,190903,NON-METROPOLITAN STABLE
2015,54903,RURAL
2015,66005,RURAL
2015,234801,CHARTER SCHOOL DISTRICTS
2015,15906,NON-METROPOLITAN STABLE
2015,67907,RURAL
2015,231902,RURAL
2015,161802,CHARTER SCHOOL DISTRICTS
2015,101806,CHARTER SCHOOL DISTRICTS
2015,236801,CHARTER SCHOOL DISTRICTS
2015,245903,OTHER CENTRAL CITY SUBURBAN
2015,192901,OTHER CENTRAL CITY SUBURBAN
2015,19911,NON-METROPOLITAN FAST GROWING
2015,70911,OTHER CENTRAL CITY
2015,19906,NON-METROPOLITAN STABLE
2015,196903,RURAL
2015,137902,RURAL
2015,45903,NON-METROPOLITAN STABLE
2015,175911,OTHER CENTRAL CITY SUBURBAN
2015,14801,CHARTER SCHOOL DISTRICTS
2015,93905,RURAL
2015,57916,MAJOR SUBURBAN
2015,57840,CHARTER SCHOOL DISTRICTS
2015,206902,RURAL
2015,161912,RURAL
2015,214901,OTHER CENTRAL CITY SUBURBAN
2015,31911,NON-METROPOLITAN STABLE
2015,126907,RURAL
2015,152802,CHARTER SCHOOL DISTRICTS
2015,67908,RURAL
2015,188902,OTHER CENTRAL CITY SUBURBAN
2015,194903,RURAL
2015,137903,RURAL
2015,41902,RURAL
2015,161922,OTHER CENTRAL CITY SUBURBAN
2015,178909,NON-METROPOLITAN STABLE
2015,76903,RURAL
2015,160904,RURAL
2015,166904,NON-METROPOLITAN STABLE
2015,69901,RURAL
2015,199901,OTHER CENTRAL CITY SUBURBAN
2015,14907,RURAL
2015,214903,INDEPENDENT TOWN
2015,152908,OTHER CENTRAL CITY SUBURBAN
2015,110905,RURAL
2015,177901,NON-METROPOLITAN FAST GROWING
2015,73905,RURAL
2015,76904,RURAL
2015,246909,MAJOR SUBURBAN
2015,75908,RURAL
2015,139908,RURAL
2015,237905,OTHER CENTRAL CITY SUBURBAN
2015,199902,OTHER CENTRAL CITY SUBURBAN
2015,104903,RURAL
2015,128903,RURAL
2015,37907,NON-METROPOLITAN STABLE
2015,91914,RURAL
2015,232902,RURAL
2015,92906,OTHER CENTRAL CITY SUBURBAN
2015,123913,NON-METROPOLITAN FAST GROWING
2015,169911,RURAL
2015,14908,OTHER CENTRAL CITY SUBURBAN
2015,112909,RURAL
2015,74917,RURAL
2015,226903,OTHER CENTRAL CITY
2015,15907,MAJOR URBAN
2015,15820,CHARTER SCHOOL DISTRICTS
2015,15823,CHARTER SCHOOL DISTRICTS
2015,203901,RURAL
2015,31912,OTHER CENTRAL CITY SUBURBAN
2015,66902,NON-METROPOLITAN STABLE
2015,71904,MAJOR SUBURBAN
2015,233901,INDEPENDENT TOWN
2015,214902,RURAL
2015,105902,OTHER CENTRAL CITY
2015,245904,RURAL
2015,206901,RURAL
2015,22903,RURAL
2015,58909,RURAL
2015,117903,RURAL
2015,61908,OTHER CENTRAL CITY SUBURBAN
2015,42903,RURAL
2015,84909,OTHER CENTRAL CITY SUBURBAN
2015,137904,NON-METROPOLITAN FAST GROWING
2015,31913,RURAL
2015,31914,NON-METROPOLITAN STABLE
2015,182904,RURAL
2015,74911,RURAL
2015,94902,OTHER CENTRAL CITY
2015,207901,RURAL
2015,15806,CHARTER SCHOOL DISTRICTS
2015,15827,CHARTER SCHOOL DISTRICTS
2015,15831,CHARTER SCHOOL DISTRICTS
2015,75903,RURAL
2015,129910,OTHER CENTRAL CITY SUBURBAN
2015,83901,RURAL
2015,8902,OTHER CENTRAL CITY SUBURBAN
2015,178808,CHARTER SCHOOL DISTRICTS
2015,94901,OTHER CENTRAL CITY SUBURBAN
2015,83903,NON-METROPOLITAN STABLE
2015,101802,CHARTER SCHOOL DISTRICTS
2015,12901,RURAL
2015,152909,OTHER CENTRAL CITY SUBURBAN
2015,242902,NON-METROPOLITAN FAST GROWING
2015,108911,OTHER CENTRAL CITY SUBURBAN
2015,15819,CHARTER SCHOOL DISTRICTS
2015,210903,RURAL
2015,101924,MAJOR SUBURBAN
2015,204904,INDEPENDENT TOWN
2015,91906,OTHER CENTRAL CITY
2015,143903,RURAL
2015,47905,RURAL
2015,115902,RURAL
2015,100904,INDEPENDENT TOWN
2015,23902,RURAL
2015,19909,RURAL
2015,205906,INDEPENDENT TOWN
2015,49909,RURAL
2015,13905,RURAL
2015,152903,NON-METROPOLITAN STABLE
2015,249908,RURAL
2015,1909,RURAL
2015,11904,NON-METROPOLITAN STABLE
2015,110906,RURAL
2015,26903,RURAL
2015,208902,NON-METROPOLITAN STABLE
2015,71909,MAJOR URBAN
2015,15909,NON-METROPOLITAN STABLE
2015,26902,RURAL
2015,218901,NON-METROPOLITAN STABLE
2015,152803,CHARTER SCHOOL DISTRICTS
2015,15908,MAJOR SUBURBAN
2015,108802,CHARTER SCHOOL DISTRICTS
2015,31916,NON-METROPOLITAN STABLE
2015,85903,RURAL
2015,15917,MAJOR SUBURBAN
2015,15912,MAJOR SUBURBAN
2015,15807,CHARTER SCHOOL DISTRICTS
2015,101838,CHARTER SCHOOL DISTRICTS
2015,98904,NON-METROPOLITAN STABLE
2015,170907,OTHER CENTRAL CITY SUBURBAN
2015,101920,MAJOR SUBURBAN
2015,117907,RURAL
2015,92907,OTHER CENTRAL CITY SUBURBAN
2015,101919,MAJOR SUBURBAN
2015,140907,RURAL
2015,184902,OTHER CENTRAL CITY SUBURBAN
2015,63903,RURAL
2015,229905,RURAL
2015,57836,CHARTER SCHOOL DISTRICTS
2015,13801,CHARTER SCHOOL DISTRICTS
2015,79910,MAJOR SUBURBAN
2015,127906,RURAL
2015,156902,OTHER CENTRAL CITY SUBURBAN
2015,101859,CHARTER SCHOOL DISTRICTS
2015,174801,CHARTER SCHOOL DISTRICTS
2015,72903,INDEPENDENT TOWN
2015,216901,NON-METROPOLITAN FAST GROWING
2015,247906,RURAL
2015,211902,RURAL
2015,182905,RURAL
2015,140908,RURAL
2015,112910,RURAL
2015,112901,INDEPENDENT TOWN
2015,110907,RURAL
2015,57919,NON-METROPOLITAN FAST GROWING
2015,171902,RURAL
2015,20906,OTHER CENTRAL CITY SUBURBAN
2015,143905,RURAL
2015,177902,NON-METROPOLITAN STABLE
2015,205907,OTHER CENTRAL CITY SUBURBAN
2015,153904,RURAL
2015,146907,NON-METROPOLITAN STABLE
2015,201910,OTHER CENTRAL CITY SUBURBAN
2015,246911,OTHER CENTRAL CITY SUBURBAN
2015,81904,NON-METROPOLITAN STABLE
2015,123803,CHARTER SCHOOL DISTRICTS
2015,14909,OTHER CENTRAL CITY SUBURBAN
2015,210904,NON-METROPOLITAN FAST GROWING
2015,22004,RURAL
2015,222901,RURAL
2015,129906,OTHER CENTRAL CITY
2015,57804,CHARTER SCHOOL DISTRICTS
2015,19907,INDEPENDENT TOWN
2015,84906,OTHER CENTRAL CITY SUBURBAN
2015,221801,CHARTER SCHOOL DISTRICTS
2015,61802,CHARTER SCHOOL DISTRICTS
2015,227805,CHARTER SCHOOL DISTRICTS
2015,226801,CHARTER SCHOOL DISTRICTS
2015,105802,CHARTER SCHOOL DISTRICTS
2015,220814,CHARTER SCHOOL DISTRICTS
2015,170801,CHARTER SCHOOL DISTRICTS
2015,211901,RURAL
2015,56902,RURAL
2015,227824,CHARTER SCHOOL DISTRICTS
2015,227827,CHARTER SCHOOL DISTRICTS
2015,101864,CHARTER SCHOOL DISTRICTS
2015,101868,CHARTER SCHOOL DISTRICTS
2015,101861,CHARTER SCHOOL DISTRICTS
2015,101814,CHARTER SCHOOL DISTRICTS
2015,166905,RURAL
2015,246912,RURAL
2015,149902,RURAL
2015,72901,RURAL
2015,224901,RURAL
2015,158902,RURAL
2015,210905,RURAL
2015,91907,NON-METROPOLITAN FAST GROWING
2015,111903,INDEPENDENT TOWN
2015,91918,RURAL
2015,101921,MAJOR SUBURBAN
2015,71908,NON-METROPOLITAN STABLE
2015,14802,CHARTER SCHOOL DISTRICTS
2015,220801,CHARTER SCHOOL DISTRICTS
2015,221905,RURAL
2015,74912,RURAL
2015,107907,RURAL
2015,57813,CHARTER SCHOOL DISTRICTS
2015,46802,CHARTER SCHOOL DISTRICTS
2015,228903,NON-METROPOLITAN STABLE
2015,212904,NON-METROPOLITAN STABLE
2015,14910,NON-METROPOLITAN STABLE
2015,219903,NON-METROPOLITAN STABLE
2015,178912,OTHER CENTRAL CITY SUBURBAN
2015,96905,RURAL
2015,101840,CHARTER SCHOOL DISTRICTS
2015,212905,OTHER CENTRAL CITY
2015,57845,CHARTER SCHOOL DISTRICTS
2015,230908,RURAL
2015,230904,RURAL
2015,240903,OTHER CENTRAL CITY
2015,57808,CHARTER SCHOOL DISTRICTS
2015,101807,CHARTER SCHOOL DISTRICTS
2015,227819,CHARTER SCHOOL DISTRICTS
2015,227806,CHARTER SCHOOL DISTRICTS
2015,57843,CHARTER SCHOOL DISTRICTS
2015,57803,CHARTER SCHOOL DISTRICTS
2015,57838,CHARTER SCHOOL DISTRICTS
2015,57842,CHARTER SCHOOL DISTRICTS
2015,220816,CHARTER SCHOOL DISTRICTS
2015,212804,CHARTER SCHOOL DISTRICTS
2015,232904,RURAL
2015,68803,CHARTER SCHOOL DISTRICTS
2015,232903,INDEPENDENT TOWN
2015,122902,RURAL
2015,18904,RURAL
2015,49903,RURAL
2015,108916,OTHER CENTRAL CITY SUBURBAN
2015,91908,OTHER CENTRAL CITY SUBURBAN
2015,234906,OTHER CENTRAL CITY SUBURBAN
2015,158906,NON-METROPOLITAN STABLE
2015,108808,CHARTER SCHOOL DISTRICTS
2015,180902,NON-METROPOLITAN FAST GROWING
2015,126908,OTHER CENTRAL CITY SUBURBAN
2015,226908,RURAL
2015,244903,NON-METROPOLITAN STABLE
2015,235902,INDEPENDENT TOWN
2015,101865,CHARTER SCHOOL DISTRICTS
2015,181907,OTHER CENTRAL CITY SUBURBAN
2015,57847,CHARTER SCHOOL DISTRICTS
2015,71809,CHARTER SCHOOL DISTRICTS
2015,143904,RURAL
2015,161801,CHARTER SCHOOL DISTRICTS
2015,161914,OTHER CENTRAL CITY
2015,89905,RURAL
2015,59902,RURAL
2015,226906,OTHER CENTRAL CITY SUBURBAN
2015,237904,INDEPENDENT TOWN
2015,49908,RURAL
2015,18905,RURAL
2015,229904,NON-METROPOLITAN STABLE
2015,102903,NON-METROPOLITAN STABLE
2015,226905,RURAL
2015,70801,CHARTER SCHOOL DISTRICTS
2015,70912,OTHER CENTRAL CITY
2015,227803,CHARTER SCHOOL DISTRICTS
2015,184903,OTHER CENTRAL CITY
2015,240904,RURAL
2015,45905,RURAL
2015,44902,RURAL
2015,223904,RURAL
2015,37909,RURAL
2015,108913,OTHER CENTRAL CITY SUBURBAN
2015,100908,RURAL
2015,161916,NON-METROPOLITAN STABLE
2015,181906,NON-METROPOLITAN STABLE
2015,178915,OTHER CENTRAL CITY SUBURBAN
2015,201914,NON-METROPOLITAN FAST GROWING
2015,202905,RURAL
2015,168903,RURAL
2015,62905,RURAL
2015,220810,CHARTER SCHOOL DISTRICTS
2015,73904,RURAL
2015,1908,NON-METROPOLITAN STABLE
2015,241904,NON-METROPOLITAN STABLE
2015,242903,NON-METROPOLITAN FAST GROWING
2015,33904,RURAL
2015,92908,OTHER CENTRAL CITY SUBURBAN
2015,220920,MAJOR SUBURBAN
2015,40902,RURAL
2015,212906,OTHER CENTRAL CITY SUBURBAN
2015,91909,OTHER CENTRAL CITY SUBURBAN
2015,91910,RURAL
2015,110908,RURAL
2015,109911,INDEPENDENT TOWN
2015,243905,OTHER CENTRAL CITY
2015,180904,RURAL
2015,170904,OTHER CENTRAL CITY SUBURBAN
2015,234907,OTHER CENTRAL CITY SUBURBAN
2015,153907,RURAL
2015,105905,OTHER CENTRAL CITY SUBURBAN
2015,5904,RURAL
2015,225905,RURAL
2015,57828,CHARTER SCHOOL DISTRICTS
2015,248902,NON-METROPOLITAN FAST GROWING
2015,250907,INDEPENDENT TOWN
2015,212910,OTHER CENTRAL CITY SUBURBAN
2015,200904,RURAL
2015,174906,RURAL
2015,116909,RURAL
2015,196902,RURAL
2015,224902,RURAL
2015,229903,NON-METROPOLITAN STABLE
2015,81905,RURAL
2015,43914,OTHER CENTRAL CITY SUBURBAN
2015,221912,OTHER CENTRAL CITY SUBURBAN
2015,250905,RURAL
2015,101845,CHARTER SCHOOL DISTRICTS
2015,62903,NON-METROPOLITAN STABLE
2015,62904,RURAL
2015,71905,MAJOR URBAN
2015,253901,OTHER CENTRAL CITY SUBURBAN
2015,3906,RURAL
2015,25906,RURAL
2015,101850,CHARTER SCHOOL DISTRICTS
2016,57816,CHARTER SCHOOL DISTRICTS
2016,57829,CHARTER SCHOOL DISTRICTS
2016,109901,RURAL
2016,95901,RURAL
2016,221901,OTHER CENTRAL CITY
2016,57814,CHARTER SCHOOL DISTRICTS
2016,14901,NON-METROPOLITAN FAST GROWING
2016,101810,CHARTER SCHOOL DISTRICTS
2016,15816,CHARTER SCHOOL DISTRICTS
2016,57810,CHARTER SCHOOL DISTRICTS
2016,101849,CHARTER SCHOOL DISTRICTS
2016,180903,RURAL
2016,57806,CHARTER SCHOOL DISTRICTS
2016,178901,RURAL
2016,15901,MAJOR SUBURBAN
2016,250906,NON-METROPOLITAN STABLE
2016,209901,RURAL
2016,101902,MAJOR SUBURBAN
2016,184907,MAJOR SUBURBAN
2016,125901,INDEPENDENT TOWN
2016,101903,MAJOR SUBURBAN
2016,101815,CHARTER SCHOOL DISTRICTS
2016,43901,OTHER CENTRAL CITY SUBURBAN
2016,57832,CHARTER SCHOOL DISTRICTS
2016,22901,NON-METROPOLITAN STABLE
2016,37901,RURAL
2016,126901,OTHER CENTRAL CITY SUBURBAN
2016,20901,MAJOR SUBURBAN
2016,249901,RURAL
2016,188901,OTHER CENTRAL CITY
2016,84804,CHARTER SCHOOL DISTRICTS
2016,140901,RURAL
2016,101819,CHARTER SCHOOL DISTRICTS
2016,36901,OTHER CENTRAL CITY SUBURBAN
2016,93901,INDEPENDENT TOWN
2016,2901,OTHER CENTRAL CITY SUBURBAN
2016,20902,OTHER CENTRAL CITY SUBURBAN
2016,43902,NON-METROPOLITAN FAST GROWING
2016,127901,RURAL
2016,71906,RURAL
2016,110901,RURAL
2016,228905,RURAL
2016,109912,RURAL
2016,4901,INDEPENDENT TOWN
2016,205901,OTHER CENTRAL CITY SUBURBAN
2016,5901,RURAL
2016,61910,OTHER CENTRAL CITY SUBURBAN
2016,101803,CHARTER SCHOOL DISTRICTS
2016,220802,CHARTER SCHOOL DISTRICTS
2016,220901,MAJOR URBAN
2016,212901,RURAL
2016,21805,CHARTER SCHOOL DISTRICTS
2016,217901,RURAL
2016,107901,INDEPENDENT TOWN
2016,34901,INDEPENDENT TOWN
2016,61907,OTHER CENTRAL CITY SUBURBAN
2016,227825,CHARTER SCHOOL DISTRICTS
2016,227821,CHARTER SCHOOL DISTRICTS
2016,227901,MAJOR URBAN
2016,196901,RURAL
2016,70901,RURAL
2016,194902,RURAL
2016,34902,RURAL
2016,161918,RURAL
2016,220915,MAJOR SUBURBAN
2016,30903,RURAL
2016,200901,NON-METROPOLITAN STABLE
2016,195902,RURAL
2016,10902,MAJOR SUBURBAN
2016,25901,NON-METROPOLITAN STABLE
2016,178913,NON-METROPOLITAN STABLE
2016,36902,OTHER CENTRAL CITY SUBURBAN
2016,14902,RURAL
2016,15834,CHARTER SCHOOL DISTRICTS
2016,11901,INDEPENDENT TOWN
2016,158901,INDEPENDENT TOWN
2016,101847,CHARTER SCHOOL DISTRICTS
2016,123910,OTHER CENTRAL CITY
2016,183901,RURAL
2016,13901,INDEPENDENT TOWN
2016,39904,RURAL
2016,91901,RURAL
2016,8901,INDEPENDENT TOWN
2016,14903,OTHER CENTRAL CITY SUBURBAN
2016,125902,RURAL
2016,66901,RURAL
2016,138904,RURAL
2016,101870,CHARTER SCHOOL DISTRICTS
2016,15809,CHARTER SCHOOL DISTRICTS
2016,187901,RURAL
2016,230901,RURAL
2016,114901,INDEPENDENT TOWN
2016,193801,CHARTER SCHOOL DISTRICTS
2016,220902,MAJOR SUBURBAN
2016,178902,NON-METROPOLITAN STABLE
2016,177903,RURAL
2016,16902,NON-METROPOLITAN STABLE
2016,116915,RURAL
2016,25904,RURAL
2016,34909,RURAL
2016,175902,INDEPENDENT TOWN
2016,235901,NON-METROPOLITAN STABLE
2016,43917,RURAL
2016,72904,RURAL
2016,109913,RURAL
2016,123807,CHARTER SCHOOL DISTRICTS
2016,130901,MAJOR SUBURBAN
2016,116916,RURAL
2016,241901,OTHER CENTRAL CITY SUBURBAN
2016,74903,INDEPENDENT TOWN
2016,148901,RURAL
2016,17901,RURAL
2016,117901,NON-METROPOLITAN STABLE
2016,161923,RURAL
2016,185901,RURAL
2016,169901,NON-METROPOLITAN STABLE
2016,249902,NON-METROPOLITAN STABLE
2016,180901,RURAL
2016,136901,RURAL
2016,160901,NON-METROPOLITAN STABLE
2016,8903,RURAL
2016,213801,CHARTER SCHOOL DISTRICTS
2016,21803,CHARTER SCHOOL DISTRICTS
2016,20905,OTHER CENTRAL CITY
2016,215901,NON-METROPOLITAN STABLE
2016,198901,RURAL
2016,239901,INDEPENDENT TOWN
2016,181901,NON-METROPOLITAN STABLE
2016,249903,NON-METROPOLITAN STABLE
2016,203902,RURAL
2016,184909,OTHER CENTRAL CITY SUBURBAN
2016,41901,RURAL
2016,121902,RURAL
2016,25908,RURAL
2016,15830,CHARTER SCHOOL DISTRICTS
2016,24901,OTHER CENTRAL CITY SUBURBAN
2016,223901,NON-METROPOLITAN STABLE
2016,107902,OTHER CENTRAL CITY SUBURBAN
2016,31901,OTHER CENTRAL CITY
2016,25902,INDEPENDENT TOWN
2016,161919,RURAL
2016,21902,OTHER CENTRAL CITY
2016,119901,RURAL
2016,166907,RURAL
2016,186901,RURAL
2016,145901,NON-METROPOLITAN STABLE
2016,212902,OTHER CENTRAL CITY SUBURBAN
2016,121903,NON-METROPOLITAN STABLE
2016,243901,OTHER CENTRAL CITY SUBURBAN
2016,176901,RURAL
2016,126902,OTHER CENTRAL CITY
2016,27903,OTHER CENTRAL CITY SUBURBAN
2016,71801,CHARTER SCHOOL DISTRICTS
2016,239903,RURAL
2016,188904,OTHER CENTRAL CITY SUBURBAN
2016,109902,RURAL
2016,101869,CHARTER SCHOOL DISTRICTS
2016,116901,NON-METROPOLITAN STABLE
2016,178903,NON-METROPOLITAN STABLE
2016,26901,OTHER CENTRAL CITY SUBURBAN
2016,29901,NON-METROPOLITAN STABLE
2016,49905,NON-METROPOLITAN STABLE
2016,198902,RURAL
2016,101837,CHARTER SCHOOL DISTRICTS
2016,166901,NON-METROPOLITAN STABLE
2016,116910,RURAL
2016,106901,NON-METROPOLITAN FAST GROWING
2016,234902,INDEPENDENT TOWN
2016,71907,MAJOR SUBURBAN
2016,191901,OTHER CENTRAL CITY
2016,201913,RURAL
2016,15837,CHARTER SCHOOL DISTRICTS
2016,64903,OTHER CENTRAL CITY SUBURBAN
2016,220919,MAJOR SUBURBAN
2016,57903,MAJOR SUBURBAN
2016,183902,NON-METROPOLITAN STABLE
2016,220917,MAJOR SUBURBAN
2016,1902,RURAL
2016,57904,MAJOR SUBURBAN
2016,227817,CHARTER SCHOOL DISTRICTS
2016,116902,RURAL
2016,43903,NON-METROPOLITAN FAST GROWING
2016,210901,NON-METROPOLITAN STABLE
2016,133901,RURAL
2016,145902,RURAL
2016,228904,RURAL
2016,174908,NON-METROPOLITAN FAST GROWING
2016,3907,NON-METROPOLITAN STABLE
2016,101905,MAJOR SUBURBAN
2016,103901,RURAL
2016,227814,CHARTER SCHOOL DISTRICTS
2016,220815,CHARTER SCHOOL DISTRICTS
2016,212909,OTHER CENTRAL CITY SUBURBAN
2016,225906,NON-METROPOLITAN STABLE
2016,7901,RURAL
2016,206903,RURAL
2016,229906,RURAL
2016,249904,RURAL
2016,57811,CHARTER SCHOOL DISTRICTS
2016,38901,NON-METROPOLITAN STABLE
2016,99902,RURAL
2016,73901,RURAL
2016,161920,OTHER CENTRAL CITY SUBURBAN
2016,174901,RURAL
2016,139905,NON-METROPOLITAN STABLE
2016,226901,RURAL
2016,67902,RURAL
2016,243906,OTHER CENTRAL CITY SUBURBAN
2016,57841,CHARTER SCHOOL DISTRICTS
2016,65901,RURAL
2016,194904,RURAL
2016,6902,RURAL
2016,84910,MAJOR SUBURBAN
2016,126903,OTHER CENTRAL CITY SUBURBAN
2016,146901,OTHER CENTRAL CITY SUBURBAN
2016,18901,NON-METROPOLITAN STABLE
2016,71901,MAJOR SUBURBAN
2016,30902,OTHER CENTRAL CITY SUBURBAN
2016,114902,NON-METROPOLITAN STABLE
2016,204901,INDEPENDENT TOWN
2016,42901,NON-METROPOLITAN STABLE
2016,21901,OTHER CENTRAL CITY
2016,91902,RURAL
2016,229901,RURAL
2016,168901,NON-METROPOLITAN STABLE
2016,20907,OTHER CENTRAL CITY SUBURBAN
2016,45902,NON-METROPOLITAN STABLE
2016,46902,MAJOR SUBURBAN
2016,47901,NON-METROPOLITAN STABLE
2016,130902,INDEPENDENT TOWN
2016,116903,NON-METROPOLITAN STABLE
2016,43918,NON-METROPOLITAN STABLE
2016,112908,RURAL
2016,68802,CHARTER SCHOOL DISTRICTS
2016,101842,CHARTER SCHOOL DISTRICTS
2016,233903,RURAL
2016,161921,OTHER CENTRAL CITY SUBURBAN
2016,170902,OTHER CENTRAL CITY
2016,147901,RURAL
2016,60902,RURAL
2016,57922,MAJOR SUBURBAN
2016,50910,OTHER CENTRAL CITY SUBURBAN
2016,178904,OTHER CENTRAL CITY
2016,178807,CHARTER SCHOOL DISTRICTS
2016,187904,NON-METROPOLITAN STABLE
2016,175903,OTHER CENTRAL CITY SUBURBAN
2016,95902,RURAL
2016,142901,OTHER CENTRAL CITY SUBURBAN
2016,246914,RURAL
2016,109903,RURAL
2016,129901,MAJOR SUBURBAN
2016,52901,OTHER CENTRAL CITY SUBURBAN
2016,18908,RURAL
2016,161901,RURAL
2016,53001,RURAL
2016,113901,NON-METROPOLITAN STABLE
2016,101906,MAJOR SUBURBAN
2016,54901,RURAL
2016,30901,RURAL
2016,107904,RURAL
2016,184801,CHARTER SCHOOL DISTRICTS
2016,78901,RURAL
2016,220912,MAJOR SUBURBAN
2016,254901,NON-METROPOLITAN STABLE
2016,62901,NON-METROPOLITAN STABLE
2016,55901,RURAL
2016,212801,CHARTER SCHOOL DISTRICTS
2016,112905,RURAL
2016,174902,RURAL
2016,101907,MAJOR SUBURBAN
2016,163902,RURAL
2016,172902,NON-METROPOLITAN STABLE
2016,56901,NON-METROPOLITAN STABLE
2016,57905,MAJOR URBAN
2016,20910,RURAL
2016,20904,RURAL
2016,148905,RURAL
2016,58902,RURAL
2016,175904,RURAL
2016,146902,INDEPENDENT TOWN
2016,47902,RURAL
2016,249905,INDEPENDENT TOWN
2016,101908,MAJOR SUBURBAN
